Ticker,Company,Price,52W High,% Off 52W High,100Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
AIG,"American International Group, Inc.",75.25,87.46,14.0%,239.65,55.44,51.03,239.65,68.6%,0.99,2.66%,7.7%,1.8%,1.7,BUYING,$+3K,2,0,✅ 4/4,↑0 ↓0,$39.90B,Finance,NYSE
PCG,PG&E Corporation,16.51,19.16,13.8%,27.02,14.35,28.19,27.02,38.9%,1.15,1.21%,9.2%,0.0%,—,SELLING,$-4.4M,0,7,🟡 2/4,↑1 ↓0,$36.36B,Utilities,NYSE
FIS,"Fidelity National Information Services, Inc.",41.72,82.74,49.6%,48.19,87.26,78.39,48.19,13.4%,1.35,4.19%,17.2%,3.9%,2.9,BUYING,$+1.1M,3,0,🟡 2/4,↑0 ↓0,$21.56B,Technology Services,NYSE
VTRS,"Viatris, Inc.",16.11,17.53,8.1%,18.59,11.70,21.29,18.59,13.3%,1.28,2.95%,-2.0%,3.3%,2.9,—,—,0,0,✅ 4/4,↑0 ↓0,$18.77B,Health Technology,NASDAQ
APA,APA Corporation,36.48,45.66,20.1%,42.54,25.18,32.16,42.54,14.2%,2.00,2.73%,25.8%,9.6%,3.7,SELLING,$-833K,0,1,✅ 4/4,↑1 ↓0,$12.89B,Energy Minerals,NASDAQ
BMRN,BioMarin Pharmaceutical Inc.,52.58,66.28,20.7%,53.19,79.79,84.24,53.19,1.1%,1.64,—,4.5%,5.9%,6.4,SELLING,$-3.2M,0,4,🔴 1/4,↑1 ↓0,$10.16B,Health Technology,NASDAQ
SIRI,SiriusXM Holdings Inc.,29.70,30.11,1.4%,31.46,41.06,39.86,31.46,5.6%,0.85,3.59%,7.4%,14.5%,4.8,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$10.00B,Consumer Services,NASDAQ
BAX,Baxter International Inc.,19.14,32.04,40.3%,33.35,50.25,47.67,33.35,42.6%,1.64,0.21%,-14.9%,12.3%,5.2,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$9.88B,Health Technology,NYSE
ARE,"Alexandria Real Estate Equities, Inc.",49.98,88.24,43.4%,66.33,109.67,95.50,66.33,24.6%,0.54,5.77%,-6.4%,5.8%,3.0,BUYING,$+2.1M,5,3,🔴 2/4,↑0 ↓0,$8.71B,Finance,NYSE
MOS,Mosaic Company,23.71,38.23,38.0%,28.58,29.04,28.27,28.58,17.0%,0.64,3.71%,0.4%,8.1%,2.2,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$7.54B,Process Industries,NYSE
